gas,T,R,Pr,gamma,cp,mu,k
air,250.0,287.482334,0.7235503830386009,1.4007756420657915,1004.7972199999999,1.5995850939505462e-5,0.022213500168504527
air,400.0,287.482334,0.6907113339020858,1.3952180809632777,1014.88411,2.2870392825210138e-5,0.03360419487637089
air,500.0,287.482334,0.6859768938425004,1.3863826718127634,1031.5176,2.6731192510197316e-5,0.04019624537031068
air,778.0,287.482334,0.701316149547683,1.3557623445974458,1095.5564271851395,3.565924730339623e-5,0.05570485949456083
air,1200.0,287.482334,0.7328649036413906,1.323117340930511,1177.1973,4.632055077150319e-5,0.07440447350090136
air_simple,250.0,287.1,0.7236964040901646,1.3999164229001253,1005.0,1.5995850939505462e-5,0.022213500168504527
air_simple,400.0,287.1,0.683984391648024,1.3999164229001253,1005.0,2.2870392825210138e-5,0.03360419487637089
air_simple,500.0,287.1,0.668342235083253,1.3999164229001253,1005.0,2.6731192510197316e-5,0.04019624537031068
air_simple,778.0,287.1,0.6433468078922716,1.3999164229001253,1005.0,3.565924730339623e-5,0.05570485949456083
air_simple,1200.0,287.1,0.625663368544591,1.3999164229001253,1005.0,4.632055077150319e-5,0.07440447350090136
co2,250.0,188.96,0.7697717240083369,1.3138661882931368,791.0,1.2590698081683686e-5,0.012937916361427602
co2,400.0,188.96,0.7441688664159024,1.2519332302277213,939.0,1.9336657186641148e-5,0.024399194749580338
co2,500.0,188.96,0.72377270623275,1.2290313196935907,1014.0,2.3280891373404027e-5,0.032616349924972476
co2,778.0,188.96,0.6696926951471137,1.1947234351505611,1159.361943936,3.2625050381779884e-5,0.05647999762536052
co2,1200.0,188.96,0.6050694642931977,1.1731925502273062,1280.0,4.394951311559135e-5,0.09297341893409007
n2,250.0,296.94,0.7187357256170545,1.4001024037943302,1039.1,1.551220988221125e-5,0.0224265146619327
n2,400.0,296.94,0.6990240776983823,1.397584553999411,1043.8,2.2106190230240253e-5,0.033009508682876915
n2,500.0,296.94,0.6980856268528461,1.3911943719864044,1056.0,2.5804662940411838e-5,0.03903493069743297
n2,778.0,296.94,0.7228850904421827,1.3622189555902608,1116.720399168,3.4352472455616376e-5,0.0530680564037887
n2,1200.0,296.94,0.7677234041207822,1.3273653341565057,1204.0,4.455825317390209e-5,0.06987951198754638
o2,250.0,259.82,0.7264107382277976,1.3977770293027953,913.0,1.7811013461736472e-5,0.022386033733804628
o2,400.0,259.82,0.7053667893386861,1.3817065287653523,940.5,2.6015336157658388e-5,0.0346875186443312
o2,500.0,259.82,0.7109877626414224,1.3648234996770479,972.0,3.0667782078591e-5,0.04192629711325184
o2,778.0,259.82,0.735669658512506,1.329163409898737,1049.154391936,4.1479000229625726e-5,0.05915409825657014
o2,1200.0,259.82,0.7573938629676336,1.303819079024299,1115.0,5.4415110104327626e-5,0.08010739290729914
h2o,250.0,461.91,1.0639859892189125,1.3316913089997775,1854.5,7.4737699831978885e-6,0.01302658735573707
h2o,400.0,461.91,0.9913605025792204,1.321107550278417,1900.4,1.3516714293301852e-5,0.0259110220511717
h2o,500.0,461.91,0.9627182649748992,1.309572478871918,1954.0,1.7639177031910193e-5,0.035801701467927556
h2o,778.0,461.91,0.9149724709423166,1.2765974823880475,2131.881816128,2.8913598150066108e-5,0.06736855598669063
h2o,1200.0,461.91,0.8810481698663222,1.2352974137711465,2425.0,4.481050673677151e-5,0.12333659220148914
ch4,250.0,519.65,0.7703602784874825,1.3204254663172499,2141.4,9.454574570689056e-6,0.0262812434013659
ch4,400.0,519.65,0.7047088951820984,1.2595200639248882,2522.0,1.4178389902231018e-5,0.05074137644337057
ch4,500.0,519.65,0.7095086439849705,1.2193217549116846,2889.0,1.6897084236308895e-5,0.0688020882797454
ch4,778.0,519.65,0.7273299419047894,1.1558060382093316,3854.886592704,2.3270331620480343e-5,0.12333397018778078
ch4,1200.0,519.65,0.7179774884488964,1.118278938450795,4913.0779999999995,3.093617413964654e-5,0.21169443194942827
h2,250.0,4124.9,0.7075380280029581,1.4154354372501032,14054.0,7.924329083670752e-6,0.15740287664289776
h2,400.0,4124.9,0.6964029831071378,1.3983832491476806,14479.0,1.1225918937683782e-5,0.23339946014234345
h2,500.0,4124.9,0.6853582633847438,1.3970793504105659,14513.0,1.3073697632499429e-5,0.27684582484409254
h2,778.0,4124.9,0.673217723737911,1.3905728430583921,14686.054144000002,1.7340359614863865e-5,0.3782750382244295
h2,1200.0,4124.9,0.6896439823802216,1.3668414000887201,15369.26881715749,2.24338446580889e-5,0.4999562063349184
