igas,hspec,tguess,T
40.0,-73500.0,300.0,293.00743529219625
40.0,26500.0,300.0,300.0
40.0,326500.0,300.0,320.91736932912005
40.0,1.0265e6,300.0,369.4590237132241
1.0,6200.0,400.0,303.96271935304844
1.0,106200.0,400.0,400.0
1.0,406200.0,400.0,681.6910137507733
1.0,1.1062e6,400.0,1284.7208972807894
2.0,90330.0,500.0,395.36025866048817
2.0,190330.0,500.0,500.0
2.0,490330.0,500.0,795.4816317761994
2.0,1.19033e6,500.0,1430.8352851315312
4.0,-1.295021e7,600.0,549.9848789976833
4.0,-1.285021e7,600.0,600.0
4.0,-1.255021e7,600.0,745.4818497049247
4.0,-1.185021e7,600.0,1060.860144148978
