map,field,row,values
Fan,defaults,Nc,0.99
Fan,defaults,Rline,2.2
Fan,defaults,Wc,803.5562000000001
Fan,defaults,PR,1.6850599999999998
Fan,defaults,polyeff,0.933949681369889
Fan,NcMap,-,0.3 0.4 0.5 0.6 0.7 0.75 0.8 0.85 0.9 0.95 1.0 1.05 1.1 1.15
Fan,RlineMap,-,1.0 1.2 1.4 1.6 1.8 2.0 2.2 2.4 2.6 2.8 3.0
Fan,WcMap,1,121.797 150.895 179.422 207.275 234.359 260.582 285.861 310.12 333.291 355.315 369.552
Fan,WcMap,2,194.867 227.417 258.872 289.101 317.981 345.407 371.284 395.535 418.097 438.921 457.973
Fan,WcMap,3,265.64 302.32 337.109 369.834 400.351 428.543 454.32 477.621 498.412 516.684 532.453
Fan,WcMap,4,330.65 373.304 412.75 448.759 481.163 509.851 534.771 555.926 573.366 587.188 597.526
Fan,WcMap,5,380.373 433.991 481.896 523.736 559.314 588.58 611.621 628.642 639.948 645.923 647.172
Fan,WcMap,6,408.374 467.955 520.262 564.886 601.649 630.583 651.91 666.008 673.384 674.865 674.865
Fan,WcMap,7,432.494 499.118 556.491 604.137 641.921 670.01 688.838 699.045 701.536 701.536 701.536
Fan,WcMap,8,470.522 540.248 599.144 646.786 683.165 708.637 723.856 729.705 729.841 729.841 729.841
Fan,WcMap,9,527.146 594.695 650.583 694.581 726.881 748.023 758.831 760.796 760.796 760.796 760.796
Fan,WcMap,10,593.025 653.568 702.7 740.438 767.14 783.445 790.213 790.533 790.533 790.533 790.533
Fan,WcMap,11,643.809 697.196 739.568 771.126 792.35 803.95 806.892 806.892 806.892 806.892 806.892
Fan,WcMap,12,684.12 729.283 764.846 791.078 808.441 817.554 819.416 819.416 819.416 819.416 819.416
Fan,WcMap,13,723.881 760.55 789.192 810.094 823.667 830.421 831.443 831.443 831.443 831.443 831.443
Fan,WcMap,14,762.811 790.037 811.271 826.753 836.786 841.724 842.41 842.41 842.41 842.41 842.41
Fan,PRMap,1,1.0546 1.0558 1.0553 1.0532 1.0494 1.044 1.0372 1.029 1.0196 1.0089 1.0
Fan,PRMap,2,1.1002 1.101 1.0994 1.0955 1.0892 1.0807 1.0702 1.0578 1.0436 1.0278 1.0102
Fan,PRMap,3,1.1593 1.1606 1.1584 1.1527 1.1434 1.1307 1.1149 1.0964 1.0753 1.0517 1.0258
Fan,PRMap,4,1.2313 1.2363 1.2353 1.2283 1.2154 1.1968 1.173 1.1449 1.1125 1.0764 1.0366
Fan,PRMap,5,1.3042 1.3232 1.3306 1.3261 1.31 1.2825 1.245 1.1992 1.1457 1.0854 1.0193
Fan,PRMap,6,1.3479 1.3775 1.3917 1.3901 1.3728 1.3402 1.2944 1.2376 1.1708 1.0956 1.0133
Fan,PRMap,7,1.3935 1.4356 1.4581 1.4602 1.442 1.404 1.3488 1.2797 1.1982 1.1065 1.0068
Fan,PRMap,8,1.4654 1.5127 1.5381 1.5409 1.5209 1.4789 1.4178 1.3413 1.2513 1.1501 1.0406
Fan,PRMap,9,1.583 1.6221 1.6408 1.6386 1.6155 1.5723 1.5116 1.4367 1.3492 1.2512 1.1448
Fan,PRMap,10,1.7258 1.7494 1.7565 1.7469 1.7208 1.6787 1.6229 1.5555 1.4778 1.3912 1.2969
